0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
1,8,5,1,2,0.0103173,0,2,"2,256,32,2,3",0,0,-1,-1,-1
1,7,5,0,2,0.000238593,1,2,"2,128,32,1,3",0,0,-1,-1,-1
0,6,5,0,2,0.000118633,2,2,"1,64,32,1,3",0,0,-1,-1,-1
0,5,5,0,3,6.60039e-05,3,2,"1,32,32,1,4",0,0,-1,-1,-1
0,4,5,0,4,4.32498e-05,4,2,"1,16,32,1,6",0,0,-1,-1,-1
0,3,5,0,5,2.84761e-05,5,2,"1,8,32,1,8",0,0,-1,-1,-1
0,2,5,0,6,2.18246e-05,6,2,"1,4,32,1,12",0,0,-1,-1,-1
1,2,5,0,7,1.9378e-05,7,2,"2,4,32,1,16",0,0,-1,-1,-1
1,2,4,0,8,1.65712e-05,8,2,"2,4,16,1,24",0,0,-1,-1,-1
2,2,4,0,9,1.41887e-05,9,2,"4,4,16,1,32",0,1,-1,-1,-1
2,2,4,0,10,1.39281e-05,10,2,"4,4,16,1,48",0,0,-1,-1,-1
2,2,4,1,11,1.34609e-05,11,2,"4,4,16,2,64",1,0,-1,-1,-1
3,1,4,1,11,1.29695e-05,12,2,"8,2,16,2,64",0,1,-1,-1,-1
3,1,4,1,12,1.26029e-05,13,2,"8,2,16,2,96",0,1,-1,-1,-1
3,1,4,1,13,1.21367e-05,14,2,"8,2,16,2,128",1,1,1,1,1
