index,exe_time,tile_sizes,mark,age
0,0.000509693,"2,16,48,4,4",2,0
1,0.000549318,"2,16,48,4,3",2,0
2,0.000392584,"2,16,48,4,6",2,0
3,0.00046237,"2,16,32,4,4",2,0
4,0.000502903,"2,16,64,4,4",2,0
5,0.000495836,"1,16,48,4,4",2,0
6,0.000601827,"4,16,48,4,4",2,0
7,0.000411513,"2,8,48,4,4",2,0
8,0.000730031,"2,32,48,4,4",2,0
9,0.000531851,"2,16,32,4,3",2,0
10,0.000392589,"2,16,32,4,6",2,0
11,0.000571931,"2,16,64,4,3",2,0
12,0.00041564,"2,16,64,4,6",2,0
13,0.000422327,"2,16,32,3,4",2,0
14,0.000470944,"2,16,64,3,4",2,0
15,0.000564866,"2,16,32,6,4",2,0
16,0.000636634,"2,16,64,6,4",2,0
17,0.000550192,"1,16,48,4,3",2,0
18,0.000407532,"1,16,48,4,6",2,0
19,0.000692842,"4,16,48,4,3",2,0
20,0.000558492,"4,16,48,4,6",2,0
21,0.000461188,"1,16,32,4,4",2,0
22,0.000502224,"1,16,64,4,4",2,0
23,0.000475021,"4,16,32,4,4",2,0
24,0.000682716,"4,16,64,4,4",2,0
25,0.000500303,"2,8,48,4,3",2,0
26,0.000335031,"2,8,48,4,6",2,0
27,0.000782572,"2,32,48,4,3",2,0
28,0.000534486,"2,32,48,4,6",2,0
29,0.000402338,"2,8,32,4,4",2,0
30,0.000436098,"2,8,64,4,4",2,0
31,0.00072796,"2,32,32,4,4",2,0
32,0.000720096,"2,32,64,4,4",2,0
33,0.000442676,"1,8,48,4,4",2,0
34,0.000461387,"4,8,48,4,4",2,0
35,0.000682926,"1,32,48,4,4",2,0
36,0.00104282,"4,32,48,4,4",2,0
37,0.000335031,"2,8,48,4,6",2,1
38,0.000410051,"2,8,48,4,4",2,1
39,0.000281611,"2,8,48,4,8",2,1
40,0.000319049,"2,8,32,4,6",2,1
41,0.0003665,"2,8,64,4,6",2,1
42,0.000400562,"1,8,48,4,6",2,1
43,0.000454663,"4,8,48,4,6",2,1
44,0.000353974,"2,4,48,4,6",2,1
45,0.000392823,"2,16,48,4,6",2,1
46,0.000403444,"2,8,32,4,4",2,1
47,0.000284988,"2,8,32,4,8",2,1
48,0.000437956,"2,8,64,4,4",2,1
49,0.000345205,"2,8,64,4,8",2,1
50,0.00032725,"2,8,32,3,6",2,1
51,0.000338127,"2,8,64,3,6",2,1
52,0.000356667,"2,8,32,6,6",2,1
53,0.000399099,"2,8,64,6,6",2,1
54,0.00044318,"1,8,48,4,4",2,1
55,0.000401511,"1,8,48,4,8",2,1
56,0.000462397,"4,8,48,4,4",2,1
57,0.000324248,"4,8,48,4,8",2,1
58,0.000349669,"1,8,32,4,6",2,1
59,0.000380479,"1,8,64,4,6",2,1
60,0.000329319,"4,8,32,4,6",2,1
61,0.000416309,"4,8,64,4,6",2,1
62,0.000385594,"2,4,48,4,4",2,1
63,0.000337758,"2,4,48,4,8",2,1
64,0.000343195,"2,16,48,4,8",2,1
65,0.000314862,"2,4,32,4,6",2,1
66,0.000343521,"2,4,64,4,6",2,1
67,0.000396018,"2,16,32,4,6",2,1
68,0.000417527,"2,16,64,4,6",2,1
69,0.000490103,"1,4,48,4,6",2,1
70,0.000307069,"4,4,48,4,6",2,1
71,0.000410195,"1,16,48,4,6",2,1
72,0.000561864,"4,16,48,4,6",2,1
73,0.000281611,"2,8,48,4,8",2,2
74,0.000274741,"2,8,48,4,12",2,2
75,0.000283772,"2,8,32,4,8",2,2
76,0.000344237,"2,8,64,4,8",2,2
77,0.000397241,"1,8,48,4,8",2,2
78,0.000325678,"4,8,48,4,8",2,2
79,0.000333287,"2,4,48,4,8",2,2
80,0.000340923,"2,16,48,4,8",2,2
81,0.000317917,"2,8,32,4,6",2,2
82,0.000271596,"2,8,32,4,12",2,2
83,0.000367124,"2,8,64,4,6",2,2
84,0.000325074,"2,8,64,4,12",2,2
85,0.000316712,"2,8,32,3,8",2,2
86,0.000321591,"2,8,64,3,8",2,2
87,0.00030706,"2,8,32,6,8",2,2
88,0.000364421,"2,8,64,6,8",2,2
89,0.000402109,"1,8,48,4,6",2,2
90,0.000358142,"1,8,48,4,12",2,2
91,0.000454652,"4,8,48,4,6",2,2
92,0.00029687,"4,8,48,4,12",2,2
93,0.000321523,"1,8,32,4,8",2,2
94,0.000377642,"1,8,64,4,8",2,2
95,0.000285442,"4,8,32,4,8",2,2
96,0.000363384,"4,8,64,4,8",2,2
97,0.000351632,"2,4,48,4,6",2,2
98,0.000321735,"2,4,48,4,12",2,2
99,0.000392748,"2,16,48,4,6",2,2
100,0.000309981,"2,16,48,4,12",2,2
101,0.000298264,"2,4,32,4,8",2,2
102,0.000327385,"2,4,64,4,8",2,2
103,0.000332829,"2,16,32,4,8",2,2
104,0.00035994,"2,16,64,4,8",2,2
105,0.000518623,"1,4,48,4,8",2,2
106,0.000291088,"4,4,48,4,8",2,2
107,0.000366152,"1,16,48,4,8",2,2
108,0.00050643,"4,16,48,4,8",2,2
109,0.000271596,"2,8,32,4,12",2,3
110,0.000284806,"2,8,32,4,8",2,3
111,0.000261066,"2,8,32,4,16",2,3
112,0.00026251,"2,8,24,4,12",2,3
113,0.000277039,"2,8,48,4,12",2,3
114,0.000270028,"2,8,32,3,12",2,3
115,0.000287247,"2,8,32,6,12",2,3
116,0.000316896,"1,8,32,4,12",2,3
117,0.000255428,"4,8,32,4,12",2,3
118,0.000294399,"2,4,32,4,12",2,3
119,0.000289352,"2,16,32,4,12",2,3
120,0.000310902,"2,8,24,4,8",2,3
121,0.000271423,"2,8,24,4,16",2,3
122,0.000270606,"2,8,48,4,16",2,3
123,0.000316413,"2,8,32,3,8",2,3
124,0.000271944,"2,8,32,3,16",2,3
125,0.000307789,"2,8,32,6,8",2,3
126,0.000297009,"2,8,32,6,16",2,3
127,0.000326169,"1,8,32,4,8",2,3
128,0.000316394,"1,8,32,4,16",2,3
129,0.000288528,"4,8,32,4,8",2,3
130,0.00026405,"4,8,32,4,16",2,3
131,0.000355325,"1,8,48,4,12",2,3
132,0.000224768,"4,8,24,4,12",2,3
133,0.000298919,"4,8,48,4,12",2,3
134,0.000320168,"1,8,32,3,12",2,3
135,0.000334258,"1,8,32,6,12",2,3
136,0.000277664,"4,8,32,3,12",2,3
137,0.000272964,"4,8,32,6,12",2,3
138,0.000298379,"2,4,32,4,8",2,3
139,0.000296398,"2,4,32,4,16",2,3
140,0.000336391,"2,16,32,4,8",2,3
141,0.000268526,"2,16,32,4,16",2,3
142,0.000346902,"2,4,24,4,12",2,3
143,0.00031905,"2,4,48,4,12",2,3
144,0.000292624,"2,16,24,4,12",2,3
145,0.000312029,"2,16,48,4,12",2,3
146,0.000365124,"2,4,32,3,12",2,3
147,0.000332394,"2,4,32,6,12",2,3
148,0.000300679,"2,16,32,3,12",2,3
149,0.000391665,"2,16,32,6,12",2,3
150,0.000546722,"1,4,32,4,12",2,3
151,0.000263119,"4,4,32,4,12",2,3
152,0.000338302,"1,16,32,4,12",2,3
153,0.000300027,"4,16,32,4,12",2,3
154,0.000224768,"4,8,24,4,12",2,4
155,0.000307428,"4,8,24,4,8",2,4
156,0.000219342,"4,8,24,4,16",2,4
157,0.000241684,"4,8,16,4,12",2,4
158,0.000254964,"4,8,32,4,12",2,4
159,0.000265002,"2,8,24,4,12",2,4
160,0.000287495,"8,8,24,4,12",2,4
161,0.000259614,"4,4,24,4,12",2,4
162,0.000289706,"4,16,24,4,12",2,4
163,0.000275988,"4,8,16,4,8",2,4
